ID,Name,Description,Sensory Systems,Behavior Types,Difficulty Level,Duration (minutes),Materials,Age Range,Environment,Steps Count,Step 1 Title,Step 1 Description,Step 1 Duration (seconds),Step 2 Title,Step 2 Description,Step 2 Duration (seconds),Step 3 Title,Step 3 Description,Step 3 Duration (seconds),Step 4 Title,Step 4 Description,Step 4 Duration (seconds),Step 5 Title,Step 5 Description,Step 5 Duration (seconds)
"activity-1","Sensory Bin Exploration","Explore different textures in a contained bin","tactile","seeking","beginner","15","Plastic bin, Rice/beans/sand, Small toys, Measuring cups","3-8","indoor","3","Set up bin","Fill a plastic bin with rice, beans, or sand","60","Add toys","Hide small toys in the material","30","Explore","Let child dig, pour, and explore","840","","","","","",""
"activity-2","Finger Painting","Create art using fingers and paint","tactile, visual","seeking","beginner","20","Washable paint, Paper, Plastic tablecloth","3-6","indoor","3","Prepare space","Cover table with plastic","60","Set out paint","Pour paint onto paper","30","Paint","Use fingers to create art","1110","","","","","",""
"activity-3","Play Dough Creation","Mold and shape play dough","tactile, proprioceptive","seeking","beginner","15","Play dough, Rolling pin, Cookie cutters","3-8","indoor","3","Warm up","Knead the play dough","120","Roll","Roll into different shapes","300","Cut shapes","Use cookie cutters","480","","","","","",""
"activity-4","Texture Walk","Walk barefoot on different textures","tactile, proprioceptive","seeking","beginner","10","Grass, Sand, Smooth stones, Carpet","3-10","outdoor","3","Remove shoes","Take off shoes and socks","30","Walk on grass","Step on grass first","120","Explore textures","Walk on different surfaces","450","","","","","",""
"activity-5","Massage Time","Gentle massage with lotion","tactile","avoiding","beginner","5","Lotion, Quiet space","3-12","indoor","3","Prepare","Warm lotion in hands","30","Start with hands","Gentle hand massage","120","Continue to arms","Gentle arm massage","150","","","","","",""
"activity-6","Wall Push-ups","Push against a wall to provide deep pressure","proprioceptive","seeking","beginner","3","Wall","4-12","indoor","5","Stand facing wall","Stand 2 feet from wall","10","Place hands","Place hands on wall at shoulder height","10","Push","Push against wall for 10 seconds","10","Rest","Rest for 5 seconds","5","Repeat","Repeat 5-10 times","145"
"activity-7","Heavy Work Carrying","Carry heavy objects to provide proprioceptive input","proprioceptive","seeking","beginner","10","Books, Laundry basket, Groceries","4-12","both","3","Choose object","Select heavy but safe object","30","Lift properly","Bend knees and lift","30","Carry","Walk with object to destination","540","","","","","",""
"activity-8","Jumping Jacks","Classic jumping exercise","proprioceptive, vestibular","seeking","intermediate","5","Open space","5-12","both","4","Stand ready","Stand with feet together, arms down","10","Jump and spread","Jump, spread legs, raise arms","2","Jump back","Jump back to starting position","2","Repeat","Continue for 5 minutes","286","","",""
"activity-9","Animal Walks","Walk like different animals","proprioceptive, vestibular","seeking","beginner","8","Open space","3-8","both","4","Bear walk","Walk on hands and feet","120","Crab walk","Walk on hands and feet, belly up","120","Frog jump","Squat and jump","120","Snake slither","Lie on belly and wiggle","120","","",""
"activity-10","Deep Pressure Hug","Firm hug to provide deep pressure","proprioceptive, tactile","avoiding","beginner","2","None","3-12","indoor","3","Approach gently","Ask if child wants a hug","10","Wrap arms","Wrap arms around child","10","Apply pressure","Apply firm but gentle pressure","100","","","","","",""
"activity-11","Swinging","Swing on playground or indoor swing","vestibular","seeking","beginner","10","Swing","3-12","outdoor","3","Sit on swing","Sit safely on swing","30","Start swinging","Begin gentle swinging","30","Continue","Swing for 10 minutes","540","","","","","",""
"activity-12","Spinning","Controlled spinning in place","vestibular","seeking","beginner","3","Open space","4-10","both","4","Stand in place","Stand with arms out","10","Start spinning","Spin slowly in place","30","Stop and balance","Stop and maintain balance","20","Repeat","Repeat 3-5 times","120","","",""
"activity-13","Balance Beam","Walk on a balance beam","vestibular, proprioceptive","seeking","intermediate","8","Balance beam, Cushions","4-10","both","3","Set up beam","Place beam on soft surface","60","Start walking","Walk slowly on beam","120","Add challenges","Walk backwards or sideways","300","","","","","",""
"activity-14","Rolling","Roll down a hill or on mat","vestibular","seeking","beginner","5","Grass hill, Mat","3-8","outdoor","4","Find safe hill","Find gentle grassy hill","30","Lie down","Lie on back at top","10","Roll down","Roll down hill safely","20","Repeat","Repeat 5-10 times","240","","",""
"activity-15","Bouncing","Bounce on trampoline or bed","vestibular, proprioceptive","seeking","beginner","6","Trampoline, Bed","3-10","both","3","Get on surface","Stand on trampoline or bed","10","Start bouncing","Begin gentle bouncing","30","Continue","Bounce for 5 minutes","300","","","","","",""
"activity-16","Calming Music","Listen to calming instrumental music","auditory","avoiding","beginner","10","Music player, Calming music","3-12","indoor","3","Find quiet space","Go to quiet room","30","Start music","Play calming instrumental music","30","Listen","Sit quietly and listen","540","","","","","",""
"activity-17","Sound Scavenger Hunt","Find and identify different sounds","auditory","seeking","intermediate","12","Quiet environment","4-10","both","4","Close eyes","Sit quietly with eyes closed","30","Listen","Listen for different sounds","60","Identify","Name the sounds you hear","30","Continue","Repeat for 10 minutes","540","","",""
"activity-18","Visual Tracking","Follow moving objects with eyes","visual","seeking","beginner","5","Moving object, Finger","3-8","both","3","Hold object","Hold small object in hand","10","Move slowly","Move object slowly in different directions","60","Follow with eyes","Follow object with eyes only","240","","","","","",""
"activity-19","I Spy","Find objects based on visual clues","visual","seeking","beginner","8","Environment with objects","3-8","both","4","Choose object","Pick an object in the room","30","Give clue","Say 'I spy something red'","10","Let child guess","Child looks for object","60","Continue","Take turns for 8 minutes","390","","",""
"activity-20","Scent Exploration","Explore different smells safely","olfactory","seeking","beginner","6","Safe scents, Cotton balls","3-8","indoor","4","Prepare scents","Put drops of scent on cotton balls","60","Smell one","Smell one scent at a time","30","Describe","Describe what you smell","30","Continue","Try different scents","240","","",""
"activity-21","Body Scan","Notice how different parts of body feel","interoception","low-registration","intermediate","5","Quiet space","5-12","indoor","3","Lie down","Lie comfortably on back","30","Focus on feet","Notice how feet feel","30","Move up body","Focus on each body part","240","","","","","",""
